WigleWifi-1.4,appRelease=20190201,model=Kismet,release=2019.02.01.6,device=kismet,display=kismet,board=kismet,brand=kismet
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
A8:6B:AD:AE:CB:07,TG1672GE2,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,6,-70,36.0987777710,-80.2599945068,257.635010,0,WIFI
A0:39:EE:89:79:B2,MySpectrumWiFiac-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,6,-66,36.0987777710,-80.2599945068,257.635010,0,WIFI
B0:2A:43:EA:65:EF,Hammond Household,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,6,-67,36.0987777710,-80.2599945068,257.635010,0,WIFI
16:91:82:C6:5E:43,Trump2020-5,[WPA-PSK-CCMP] [WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,10,-73,36.0987777710,-80.2599945068,257.635010,0,WIFI
EC:1A:59:87:16:75,belkin.675,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,10,-76,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DC:19:3A,WIFIDC1936,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,10,-63,36.0987777710,-80.2599945068,257.635010,0,WIFI
62:D4:F7:C2:C1:82,,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,10,-74,36.0987777710,-80.2599945068,257.635010,0,WIFI
50:D4:F7:C2:C1:82,TP-Link_C182,[WPA-PSK-CCMP+TKIP] [WPA2-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:13,10,-74,36.0987777710,-80.2599945068,257.635010,0,WIFI
EC:1A:59:87:16:75,belkin.675,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,10,-72,36.0987777710,-80.2599945068,257.635010,0,WIFI
B0:C2:87:B4:76:1A,TC8717T14,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:13,10,-74,36.0987777710,-80.2599945068,257.635010,0,WIFI
D4:04:CD:B4:37:50,ATTbX8MTWa,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:13,10,-78,36.0987777710,-80.2599945068,257.635010,0,WIFI
D0:51:57:B2:50:A9,1209clvrst,[WPA-PSK-CCMP+TKIP] [WPA2-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:13,36,-88,36.0987777710,-80.2599945068,257.635010,0,WIFI
16:91:82:C6:5E:44,Trump2020-2,[WPA-PSK-CCMP] [WPA2-PSK-CCMP][ESS],2021-01-11 09:17:13,36,-79,36.0987777710,-80.2599945068,257.635010,0,WIFI
FA:8F:CA:55:1A:2B,,[ESS],2021-01-11 09:17:13,36,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
B0:2A:43:EA:65:EB,Hammond Household,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:13,36,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
16:91:82:C6:5E:44,Trump2020-2,[WPA-PSK-CCMP] [WPA2-PSK-CCMP][ESS],2021-01-11 09:17:13,36,-79,36.0987777710,-80.2599945068,257.635010,0,WIFI
FA:8F:CA:55:1A:2B,,[ESS],2021-01-11 09:17:13,36,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
98:F7:81:B6:CB:BF,MySpectrumWiFiBD-5G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:13,36,-89,36.0987777710,-80.2599945068,257.635010,0,WIFI
B0:2A:43:EA:65:EB,Hammond Household,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:13,36,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
C4:41:1E:17:AE:BA,tyoung,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:13,36,-79,36.0987777710,-80.2599945068,257.635010,0,WIFI
C4:41:1E:17:AE:BA,tyoung,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:13,36,-90,36.0987777710,-80.2599945068,257.635010,0,WIFI
C4:41:1E:17:AE:BA,tyoung,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:13,36,-88,36.0987777710,-80.2599945068,257.635010,0,WIFI
16:91:82:C6:5E:44,Trump2020-2,[WPA-PSK-CCMP] [WPA2-PSK-CCMP][ESS],2021-01-11 09:17:13,36,-79,36.0987777710,-80.2599945068,257.635010,0,WIFI
C4:41:1E:17:AE:BA,tyoung,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:13,40,-87,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
40:4C:77:76:F4:3C,MySpectrumWiFi3B-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
B4:2A:0E:07:EA:12,Shrimp N Grits,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-91,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DA:E5:25,WIFIDAE521,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-85,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-91,36.0987777710,-80.2599945068,257.635010,0,WIFI
40:4C:77:76:F4:3C,MySpectrumWiFi3B-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-85,36.0987777710,-80.2599945068,257.635010,0,WIFI
B4:2A:0E:07:EA:12,Shrimp N Grits,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-89,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DA:E5:25,WIFIDAE521,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-83,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-78,36.0987777710,-80.2599945068,257.635010,0,WIFI
B4:2A:0E:07:EA:12,Shrimp N Grits,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-83,36.0987777710,-80.2599945068,257.635010,0,WIFI
F8:DA:0C:FE:07:17,Our Dog Is Cuter,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:13,1,-83,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DA:E5:25,WIFIDAE521,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DD:2A:D4,WIFIDD2AD0,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-83,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-87,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
